text;label
Отлично;positive
Все прошло супер!;positive
Все отлично;positive
Долг списан!;positive
Все прошло замечательно;positive
Лучшая компания!;positive
Отлично!;positive
Благодарность;positive
Огромнейшее спасибо компании бизнес юрист.;positive
Отлично! Профессионально и качественно!;positive
Грамотно решили мою проблему, остался доволен.;positive
Долги списали;positive
Все замечательно:);positive
Удобно платить в рассрочку, помощь с документами.;positive
Замечательное;positive
Избавили от коллекторов;positive
Рекомендую эту компанию!;positive
Чувствую себя обманутым;negative
Кошмарная мошенническая компашка!;negative
Компания, которой можно довериться!;positive
Я довольна ,спасибо за хорошую работу;positive
Не очень доволен;negative
Профессионализм и успешное списание долгов;positive
Долг списан;positive
Долг списали;positive
Юристы молодцы;positive
Списание долга!;positive
Теперь без долгов!;positive
Списали долги и теперь. Счастлива;positive
Отлично;positive
Долг списали;positive
Освобождают из рабства! Рекомендую!;positive
Не возвращают деньги.;negative
все легко и понятно.;positive
Хорошо;positive
Отлична компания, списали долги;positive
Списали долг;positive
Хорошая компания;positive
Все прошло быстро, четко!;positive
Лучшие из лучших!;positive
Спасибо, банкротство завершилось А56-81286/2024;positive
Отличное впечатление.;positive
Долги списаны!;positive
хорошая компания! умные ребята!;positive
Положительное - услугой осталась довольна!;positive
Все отлично, грамотно, пришел с долгом, ушел без. Очень счастлив;positive
Все отличино;positive
Хорошее;positive
Всё понравилось;positive
Доволен;positive
Все прошло отлично! Компанию Бизнес-Юрист рекомендую!);positive
прошел банкротство;positive
Все отлично, спасибо!;positive
Лохотрон;negative
Очень довольна;positive
Помогли оформить банкротство;positive
Только обещания;negative
Огромная Благодарность!;positive
Доверять можно;positive
ВЫ ЛУЧШИЕ!;positive
Качественная работа!;positive
Не соответствуют слова и дело;negative
Здесь не обманут!;positive
Наблюдаем.;positive
Итоговый результат положительный как и было обещано;positive
Грамотно решили мою проблему;positive
Очень плохо!;negative
Всё очень печально;negative
Помогли вдохнуть глоток воздуха, списали все долги;positive
Заслуживает доверия;positive
Крайне не рекомендую;negative
Все очень хорошо;positive
Вроде работают, но без сильного энтузиазма;negative
Неграмотные специалисты, потеря денег и времени;negative
Выполнили работу грамотно;positive
Пока в процессе а там посмотрим и сразу напишем;positive
Не соблюдают договоренности.;negative
Сделали банкротом, и отнеслись по-человечески;positive
Списали все долги.;positive
Или на тормозах спускают или жульничают;negative
Помогли избавиться от долгов;positive
Все гуд;positive
Удалось списать долги через банкротство;positive
Хоть процесс и не быстрый, но результат стоящий;positive
Удалось избавиться от нервотрепки;positive
Очень плохое обслуживание, что обещают все вранье;negative
Помогли списать долги;positive
Благодарна за человеческое отношение!;positive
Плохо.;negative
В общем неплохо;positive
Помогли списать долги;positive
Отлично;positive
Отлично;positive
Долги спишут и гарантию дают!;positive
Помогли списать долги;positive
Помогли разобраться с кредитами;positive
Не верится, но у меня получилось списать долги МФО;positive
Долго, не качественно;negative
реальную помощь не получил;negative
Сергей Викторович, спасибо! Вы настоящий Профессионал!;positive
Решение моих проблем с долгами;positive
Помогли списать долги, которые по глупости набрал еще в студенчестве;positive
Мне помогли;positive
Я выиграла суд - спасибо;positive
Приятное впечатление;positive
Пока не очень, медленные;negative
Бизнес юрист;positive
Ок, норм;positive
Ребята профессионалы;positive
не все гладно;negative
Рекомендую;positive
Трудно дозвониться;negative
Профессионально и быстро;positive
Хорошо, помогли;positive
Дороговато и безрезультатно;negative
Хорошо;positive
Вопрос разрешен;positive
Ничего не сделали за оплаченные деньги;negative
Обещали выиграть дело — проиграли;negative
Работа на отвяжись;negative
Никакой конкретики, одни общие фразы;negative
Непрофессионалы, потеряли моё время;negative
Пустая трата денег;negative
Не разбираются в вопросе;negative
Дали неверный совет — теперь проблемы;negative
Юрист не знает законов;negative
Ошиблись в документах — пришлось переделывать;negative
Пропустили сроки подачи;negative
Документы составлены с ошибками;negative
Не учли важные детали дела;negative
Консультации бесполезные;negative
Не смогли ответить на базовые вопросы;negative
Очень долго рассматривают дело;negative
Медленно реагируют на запросы;negative
Затягивают процесс специально;negative
Никак не дождусь результата;negative
Сроки срывают постоянно;negative
Обещали быстро — делают месяцами;negative
На письма отвечают через неделю;negative
Задержки без объяснений;negative
Тянут время, чтобы брать больше денег;negative
Делают всё в последний момент;negative
Трудно дозвониться до юриста;negative
Игнорируют звонки и письма;negative
Секретарь ничего не знает;negative
Никто не перезванивает;negative
На вопросы отвечают уклончиво;negative
Не держат в курсе дела;negative
Скрывают информацию;negative
Общаются высокомерно;negative
Не объясняют, что делают;negative
Нет обратной связи;negative
Отвечают через раз;negative
Юрист недоступен;negative
Дорого и без результата;negative
Навязывают дополнительные услуги;negative
Неожиданно подняли цену;negative
Скрытые платежи;negative
Деньги взяли, а работу не сделали;negative
Требуют предоплату без договора;negative
Цена не соответствует качеству;negative
Выкачивают деньги под разными предлогами;negative
Обдираловка;negative
Завышенные цены за посредственную работу;negative
Деньги пропали, результата нет;negative
Не выполняют условия договора;negative
Нарушают сроки по договору;negative
Меняют условия в одностороннем порядке;negative
Не соблюдают обещания;negative
Слова расходятся с делом;negative
Вводят в заблуждение;negative
Давали ложные гарантии;negative
Обманули с результатом;negative
Скрыли важные нюансы;negative
Не предупредили о рисках;negative
Никому не советую;negative
Ужасная компания;negative
Кошмарный опыт;negative
Разочарован полностью;negative
Потерял доверие;negative
Больше никогда к ним;negative
Полный провал;negative
Бесполезная трата времени;negative
Лучше найти других;negative
Не стоит своих денег;negative
Ощущение обмана;negative
Не советую никому;negative
Хуже не бывает;negative
Зря потратил время и деньги;negative
Ощущение, что разводят.;negative
